"title" "author" "path" "date" "response"
"1" "[討論] 美國總統歐巴馬心目中八部必看的科幻電影" "jay5566" "/bbs/movie/M.1476596313.A.6C4.html" "10/16" "7"
"2" "[討論] 《地獄》劇情問題？(有雷)" "qaaq0008" "/bbs/movie/M.1476596946.A.60A.html" "10/16" "2"
"3" "[討論] 被嗆很少看電影" "asdeven" "/bbs/movie/M.1476597613.A.494.html" "10/16" "6"
"4" "[公告]《各式疑難雜症FAQ》" "yunyun85106" "/bbs/movie/M.1397887191.A.BD0.html" " 4/19" "22"
"5" "[公告] 板規！必看！｜好文推薦‧惡文檢舉" "ericf129" "/bbs/movie/M.1468848054.A.77E.html" " 7/18" "爆"
"6" "[贈票] 《奇異博士》x電影神搜 贈票活動來囉！！" "ypdog" "/bbs/movie/M.1475841978.A.FCA.html" "10/07" "爆"
"7" "[贈票] 【重返心原點】Movie版專屬電影特映會" "CatchPlay" "/bbs/movie/M.1475231020.A.3B6.html" " 9/30" "爆"
